date,signal,value,stderr,sample_size
20210322,fb_survey_wcli,1.1391092,0.170589,6443.9254
20210323,fb_survey_wcli,0.9954201,0.149257,6366.9342
20210324,fb_survey_wcli,0.9329377,0.1424149,6409.9437
20210325,fb_survey_wcli,0.8249084,0.1321577,6387.951
20210326,fb_survey_wcli,0.9601166,0.1480799,6272.9456
20210327,fb_survey_wcli,0.8673254,0.1220703,6161.9376
20210328,fb_survey_wcli,0.8930843,0.1273596,6070.9463
20210329,fb_survey_wcli,0.8399097,0.1321312,6030.9464
20210330,fb_survey_wcli,0.877803,0.1346624,5982.9334
20210331,fb_survey_wcli,0.9486582,0.1532063,5945.9291
20210401,fb_survey_wcli,0.8915517,0.149496,5883.9321
20210402,fb_survey_wcli,0.7820966,0.138702,5894.9347
20210403,fb_survey_wcli,0.7798386,0.1387387,5880.9415
20210404,fb_survey_wcli,0.9252419,0.203425,5779.9448
20210405,fb_survey_wcli,0.928776,0.2008879,5802.9404
20210406,fb_survey_wcli,1.0425604,0.239302,5843.9489
20210407,fb_survey_wcli,0.9752836,0.2290539,5784.9544
20210408,fb_survey_wcli,1.0240423,0.2324474,5779.9503
20210409,fb_survey_wcli,1.0137904,0.2317159,5855.9527
20210410,fb_survey_wcli,1.0551011,0.2328031,5912.9571
20210411,fb_survey_wcli,0.8883927,0.177493,5972.9526
20210412,fb_survey_wcli,0.877108,0.1742048,5968.953
20210413,fb_survey_wcli,0.7513955,0.1145215,5985.9482
20210414,fb_survey_wcli,0.826615,0.1252091,6007.9298
20210415,fb_survey_wcli,0.7849746,0.1161117,5977.9285
20210416,fb_survey_wcli,0.7389554,0.1087248,5900.9218
20210417,fb_survey_wcli,0.7332478,0.1105378,5790.9178
20210418,fb_survey_wcli,0.7584969,0.1243591,5756.9179
20210419,fb_survey_wcli,0.7642311,0.1243952,5718.9239
20210420,fb_survey_wcli,0.8891663,0.1418934,5671.935
20210421,fb_survey_wcli,0.7375259,0.1273319,5549.9517
20210422,fb_survey_wcli,0.6642382,0.1245328,5489.9555
20210423,fb_survey_wcli,0.7775995,0.1497517,5348.9636
20210424,fb_survey_wcli,0.795807,0.1523735,5283.9584
20210425,fb_survey_wcli,0.810344,0.1466823,5025.9582
20210426,fb_survey_wcli,0.8817657,0.1543624,5083.949
20210427,fb_survey_wcli,0.7856442,0.1422058,5024.9448
20210428,fb_survey_wcli,0.7982214,0.1430413,5002.9488
20210429,fb_survey_wcli,0.9089807,0.1497509,4892.9518
20210430,fb_survey_wcli,0.8120629,0.1256692,4864.9498
20210501,fb_survey_wcli,0.7637908,0.116905,4809.9553
20210502,fb_survey_wcli,0.694042,0.1061934,4937.9563
20210503,fb_survey_wcli,0.6243381,0.0973762,4715.9692
20210504,fb_survey_wcli,0.5897719,0.1037446,4612.9719
20210505,fb_survey_wcli,0.5923787,0.1045053,4504.9641
20210506,fb_survey_wcli,0.639963,0.1436918,4516.9603
20210507,fb_survey_wcli,0.8610493,0.1742107,4485.9613
20210508,fb_survey_wcli,0.9728484,0.1882072,4448.963
20210509,fb_survey_wcli,0.9666359,0.188954,4314.9644
20210510,fb_survey_wcli,0.9392945,0.1881179,4259.9637
20210511,fb_survey_wcli,0.9692813,0.1872687,4219.9629
20210512,fb_survey_wcli,1.1030329,0.2083418,4211.9686
20210513,fb_survey_wcli,1.1071294,0.1910108,4179.9707
20210514,fb_survey_wcli,0.9163117,0.1657593,4159.9664
20210515,fb_survey_wcli,0.8550187,0.154596,4126.9675
20210516,fb_survey_wcli,0.9127216,0.158413,4138.9654
20210517,fb_survey_wcli,1.1073368,0.2095748,4146.9604
20210518,fb_survey_wcli,1.1709163,0.2126553,4124.9599
20210519,fb_survey_wcli,1.0582242,0.1926034,4098.9596
20210520,fb_survey_wcli,1.0272509,0.2075154,4079.959
20210521,fb_survey_wcli,1.1028479,0.2162048,4054.9637
20210522,fb_survey_wcli,1.0757443,0.2186185,4013.9648
20210523,fb_survey_wcli,1.1149027,0.2235991,4012.9627
20210524,fb_survey_wcli,0.8946235,0.1762531,4014.9624
20210525,fb_survey_wcli,1.0536553,0.3174863,3951.9637
20210526,fb_survey_wcli,1.2894128,0.3349101,3948.965
20210527,fb_survey_wcli,1.2557446,0.3292407,3852.9673
20210528,fb_survey_wcli,1.1956208,0.326082,3834.9615
20210529,fb_survey_wcli,1.1387301,0.3216103,3873.9554
20210530,fb_survey_wcli,1.0945654,0.3186875,3913.9569
20210531,fb_survey_wcli,1.1957896,0.3274182,3910.9557
20210601,fb_survey_wcli,0.9620593,0.1860862,3995.9492
20210602,fb_survey_wcli,0.8401229,0.1668129,4008.9448
20210603,fb_survey_wcli,0.8460358,0.1541939,4155.9416
20210604,fb_survey_wcli,0.8789834,0.1570929,4222.9402
20210605,fb_survey_wcli,0.9648206,0.1628795,4222.9421
20210606,fb_survey_wcli,1.0778466,0.2070712,4256.9368
20210607,fb_survey_wcli,1.0084572,0.1968662,4270.9368
20210608,fb_survey_wcli,0.976464,0.1963429,4244.9424
20210609,fb_survey_wcli,0.8356171,0.1808184,4244.9451
20210610,fb_survey_wcli,0.9941617,0.2161608,4156.9486
20210611,fb_survey_wcli,0.8749479,0.2088447,4095.9532
20210612,fb_survey_wcli,0.8918922,0.2174518,4077.9579
20210613,fb_survey_wcli,0.7975033,0.1808203,4031.9604
20210614,fb_survey_wcli,0.7463001,0.1757004,3976.9643
20210615,fb_survey_wcli,0.9288365,0.1988734,3975.9596
20210616,fb_survey_wcli,1.1434024,0.2394153,3957.9509
20210617,fb_survey_wcli,0.9753956,0.2088735,3900.9504
20210618,fb_survey_wcli,0.9418537,0.2076818,3797.9511
20210619,fb_survey_wcli,0.8872692,0.1956554,3691.9441
20210620,fb_survey_wcli,0.8160684,0.1896248,3528.9523
20210621,fb_survey_wcli,1.0096261,0.2113665,3400.9552
20210622,fb_survey_wcli,0.8468403,0.1959967,3222.957
20210623,fb_survey_wcli,0.6740566,0.1502934,3081.9675
20210624,fb_survey_wcli,0.6643436,0.1522468,2972.9669
20210625,fb_survey_wcli,0.8983631,0.1934963,2993.9593
20210626,fb_survey_wcli,1.0058311,0.212498,3036.9649
20210627,fb_survey_wcli,0.9741656,0.2097011,3150.9642
20210628,fb_survey_wcli,0.9195439,0.2175226,3261.9628
20210629,fb_survey_wcli,0.9041369,0.2122341,3410.9634
20210630,fb_survey_wcli,0.9407618,0.2222597,3561.9585
20210701,fb_survey_wcli,1.1224699,0.2438755,3665.9603
20210702,fb_survey_wcli,1.0324745,0.221878,3744.9642
20210703,fb_survey_wcli,0.9134032,0.2040946,3830.96
20210704,fb_survey_wcli,0.9535804,0.2069009,3843.959
20210705,fb_survey_wcli,0.8918239,0.1853196,3853.9589
20210706,fb_survey_wcli,0.9657743,0.1951531,3896.9615
20210707,fb_survey_wcli,1.0218809,0.1872008,3911.9604
20210708,fb_survey_wcli,0.9048835,0.1664554,3968.9543
20210709,fb_survey_wcli,0.9855091,0.1717677,4024.9569
20210710,fb_survey_wcli,0.9914928,0.1756837,4058.9584
20210711,fb_survey_wcli,0.9638001,0.1726614,4099.9576
20210712,fb_survey_wcli,1.0421057,0.1851532,4148.9527
20210713,fb_survey_wcli,0.9770262,0.1783428,4164.9529
20210714,fb_survey_wcli,0.8893412,0.1750396,4176.9564
20210715,fb_survey_wcli,0.9436703,0.1763037,4161.9574
20210716,fb_survey_wcli,0.8074413,0.1653143,4180.9589
20210717,fb_survey_wcli,0.9923176,0.1829885,4177.9588
20210718,fb_survey_wcli,1.0901162,0.1901255,4262.9598
20210719,fb_survey_wcli,0.9503955,0.16917,4346.9529
20210720,fb_survey_wcli,0.9488146,0.1652618,4253.9514
20210721,fb_survey_wcli,1.0023377,0.1676588,4131.9526
20210722,fb_survey_wcli,0.8780627,0.1476318,4485.9529
20210723,fb_survey_wcli,1.0126489,0.1517884,4768.94
20210724,fb_survey_wcli,0.960663,0.1389568,4891.9295
20210725,fb_survey_wcli,1.0389758,0.1420606,4922.9284
20210726,fb_survey_wcli,1.1075685,0.1450921,4981.9421
20210727,fb_survey_wcli,1.2251141,0.1532035,5220.9393
20210728,fb_survey_wcli,1.3210375,0.1559531,5513.9378
