gadm_id,gadm_name,home_to_ping_distance_category,distance_category_ping_fraction,ds
MEX.5.37_1,Huitiupán,"(0, 10)",0.5381532988133443,2026-06-16
MEX.5.37_1,Huitiupán,0,0.440974509935421,2026-06-16
MEX.5.37_1,Huitiupán,100+,0.0024038029756169314,2026-06-16
MEX.7.5_1,Candela,0,0.44577730062290216,2026-06-16
MEX.7.5_1,Candela,100+,0.013787618996794778,2026-06-16
MEX.7.5_1,Candela,"[10, 100)",0.044725910778582297,2026-06-16
MEX.7.5_1,Candela,"(0, 10)",0.49944033646481323,2026-06-16
MEX.10.25_1,San Bernardo,0,0.39961762736507456,2026-06-16
MEX.10.25_1,San Bernardo,100+,0.013534392602515051,2026-06-16
MEX.10.25_1,San Bernardo,"[10, 100)",0.070267609803012,2026-06-16
MEX.10.25_1,San Bernardo,"(0, 10)",0.5257338862649562,2026-06-16
MEX.5.99_1,Tumbalá,100+,0.0030318827573764407,2026-06-16
MEX.5.99_1,Tumbalá,0,0.42607275922138255,2026-06-16
MEX.5.99_1,Tumbalá,"[10, 100)",0.03160143372809838,2026-06-16
MEX.5.99_1,Tumbalá,"(0, 10)",0.5389515324152696,2026-06-16
MEX.12.42_1,Leonardo Bravo,0,0.3929440547868344,2026-06-16
MEX.12.42_1,Leonardo Bravo,"(0, 10)",0.5577006188681491,2026-06-16
MEX.12.42_1,Leonardo Bravo,"[10, 100)",0.046753675297631414,2026-06-16
MEX.12.42_1,Leonardo Bravo,100+,0.0031830205915930115,2026-06-16
MEX.19.10_1,Cerralvo,100+,0.01135807304739092,2026-06-16
MEX.19.10_1,Cerralvo,0,0.3818948625960302,2026-06-16
MEX.19.10_1,Cerralvo,"(0, 10)",0.5621428730609891,2026-06-16
MEX.19.10_1,Cerralvo,"[10, 100)",0.04492074937980152,2026-06-16
MEX.30.68_1,Huatusco,"(0, 10)",0.5503916218032062,2026-06-16
MEX.30.68_1,Huatusco,"[10, 100)",0.03297355115264887,2026-06-16
MEX.30.68_1,Huatusco,0,0.4140138318032493,2026-06-16
MEX.30.68_1,Huatusco,100+,0.0029768612874994617,2026-06-16
MEX.21.84_1,Ixtacamaxtitlán,0,0.39585970174493074,2026-06-16
MEX.21.84_1,Ixtacamaxtitlán,"(0, 10)",0.5279609265827172,2026-06-16
MEX.21.84_1,Ixtacamaxtitlán,"[10, 100)",0.0719672824871695,2026-06-16
MEX.21.84_1,Ixtacamaxtitlán,100+,0.002934914643546566,2026-06-16
MEX.13.51_1,San Agustín Tlaxiaca,100+,0.003454820687908493,2026-06-16
MEX.13.51_1,San Agustín Tlaxiaca,"(0, 10)",0.5891624277125903,2026-06-16
MEX.13.51_1,San Agustín Tlaxiaca,"[10, 100)",0.05993780937948271,2026-06-16
MEX.13.51_1,San Agustín Tlaxiaca,0,0.347424230024788,2026-06-16
MEX.12.44_1,Mártir de Cuilapan,"(0, 10)",0.5468522985068025,2026-06-16
MEX.12.44_1,Mártir de Cuilapan,"[10, 100)",0.03887750037518099,2026-06-16
MEX.12.44_1,Mártir de Cuilapan,0,0.41195403975587186,2026-06-16
MEX.12.44_1,Mártir de Cuilapan,100+,0.0028908854387182004,2026-06-16
MEX.19.45_1,San Nicolás de los Garza,100+,0.003248071135830194,2026-06-16
MEX.19.45_1,San Nicolás de los Garza,"[10, 100)",0.10765462550298162,2026-06-16
MEX.19.45_1,San Nicolás de los Garza,"(0, 10)",0.5529691412387838,2026-06-16
MEX.19.45_1,San Nicolás de los Garza,0,0.3361571294722376,2026-06-16
MEX.30.52_1,Córdoba,0,0.36760218337374856,2026-06-16
MEX.30.52_1,Córdoba,"[10, 100)",0.04486627002176784,2026-06-16
MEX.30.52_1,Córdoba,"(0, 10)",0.5855562941625857,2026-06-16
MEX.30.52_1,Córdoba,100+,0.0011752157330244888,2026-06-16
MEX.5.77_1,Salto de Agua,"[10, 100)",0.05200244206004061,2026-06-16
MEX.5.77_1,Salto de Agua,"(0, 10)",0.5417422700595552,2026-06-16
MEX.5.77_1,Salto de Agua,0,0.4033687997251919,2026-06-16
MEX.5.77_1,Salto de Agua,100+,0.0034519615282023255,2026-06-16
MEX.24.7_1,Catorce,100+,0.011808375739250284,2026-06-16
MEX.24.7_1,Catorce,"[10, 100)",0.04750349075837344,2026-06-16
MEX.24.7_1,Catorce,0,0.419060360167619,2026-06-16
MEX.24.7_1,Catorce,"(0, 10)",0.5206691447111932,2026-06-16
MEX.11.37_1,Silao,"(0, 10)",0.5426324360259162,2026-06-16
MEX.11.37_1,Silao,"[10, 100)",0.10505355255399443,2026-06-16
MEX.11.37_1,Silao,0,0.3429504092057491,2026-06-16
MEX.11.37_1,Silao,100+,0.009379750282440973,2026-06-16
MEX.12.27_1,Cuetzala del Progreso,0,0.35934188267622297,2026-06-16
MEX.12.27_1,Cuetzala del Progreso,100+,0.004246908585089595,2026-06-16
MEX.12.27_1,Cuetzala del Progreso,"(0, 10)",0.5973677877120601,2026-06-16
MEX.12.27_1,Cuetzala del Progreso,"[10, 100)",0.040037666285416086,2026-06-16
MEX.30.192_1,Villa Aldama,100+,0.008121124680856415,2026-06-16
MEX.30.192_1,Villa Aldama,"(0, 10)",0.5299946190538123,2026-06-16
MEX.30.192_1,Villa Aldama,"[10, 100)",0.048806417516417296,2026-06-16
MEX.30.192_1,Villa Aldama,0,0.420419246405311,2026-06-16
MEX.12.21_1,Copanatoyac,"[10, 100)",0.03938507308792166,2026-06-16
MEX.12.21_1,Copanatoyac,0,0.4152003022398808,2026-06-16
MEX.12.21_1,Copanatoyac,"(0, 10)",0.5505135838588469,2026-06-16
MEX.12.21_1,Copanatoyac,100+,-0.0028720618174477948,2026-06-16
MEX.14.14_1,Autlán de Navarro,"(0, 10)",0.5917947881111958,2026-06-16
MEX.14.14_1,Autlán de Navarro,100+,0.0063603481373351095,2026-06-16
MEX.14.14_1,Autlán de Navarro,0,0.3683829134104428,2026-06-16
MEX.14.14_1,Autlán de Navarro,"[10, 100)",0.03369283939981191,2026-06-16
MEX.30.184_1,Tomatlán,0,0.35626826628360325,2026-06-16
MEX.30.184_1,Tomatlán,100+,-0.06408298020886477,2026-06-16
MEX.30.184_1,Tomatlán,"[10, 100)",0.05980229313691922,2026-06-16
MEX.30.184_1,Tomatlán,"(0, 10)",0.5906811669025793,2026-06-16
MEX.5.65_1,Ostuacán,0,0.41512742791657803,2026-06-16
MEX.5.65_1,Ostuacán,100+,0.0006997372480636694,2026-06-16
MEX.5.65_1,Ostuacán,"[10, 100)",0.03120594024184562,2026-06-16
MEX.5.65_1,Ostuacán,"(0, 10)",0.5515341483002668,2026-06-16
MEX.25.9_1,El Fuerte,"[10, 100)",0.06498201409437875,2026-06-16
MEX.25.9_1,El Fuerte,0,0.3863293011946193,2026-06-16
MEX.25.9_1,El Fuerte,"(0, 10)",0.5443338583234973,2026-06-16
MEX.25.9_1,El Fuerte,100+,0.004184084374535381,2026-06-16
MEX.32.56_1,Zacatecas,0,0.36136625594263694,2026-06-16
MEX.32.56_1,Zacatecas,100+,0.008221621888898594,2026-06-16
MEX.32.56_1,Zacatecas,"[10, 100)",0.03911059340458153,2026-06-16
MEX.32.56_1,Zacatecas,"(0, 10)",0.591318167862892,2026-06-16
MEX.28.31_1,Palmillas,"(0, 10)",0.51608968537337,2026-06-16
MEX.28.31_1,Palmillas,100+,0.029831815903143565,2026-06-16
MEX.28.31_1,Palmillas,0,0.37691627913928166,2026-06-16
MEX.28.31_1,Palmillas,"[10, 100)",0.08023197605084018,2026-06-16
MEX.12.22_1,Coyuca de Benítez,"[10, 100)",0.06845334354749345,2026-06-16
MEX.12.22_1,Coyuca de Benítez,100+,0.004312401454164614,2026-06-16
MEX.12.22_1,Coyuca de Benítez,0,0.3973038415431579,2026-06-16
MEX.12.22_1,Coyuca de Benítez,"(0, 10)",0.5299027428602974,2026-06-16
MEX.21.96_1,Mazapiltepec de Juárez,"(0, 10)",0.44300671391646057,2026-06-16
MEX.21.96_1,Mazapiltepec de Juárez,"[10, 100)",0.23243610299929734,2026-06-16
MEX.21.96_1,Mazapiltepec de Juárez,0,0.29864914395473674,2026-06-16
MEX.21.96_1,Mazapiltepec de Juárez,100+,0.013942881784487725,2026-06-16
MEX.5.27_1,Coapilla,"[10, 100)",0.050128480409971386,2026-06-16
MEX.5.27_1,Coapilla,100+,0.002506027920447608,2026-06-16
MEX.5.27_1,Coapilla,"(0, 10)",0.5500655491240902,2026-06-16
MEX.5.27_1,Coapilla,0,0.40254311531536463,2026-06-16
MEX.32.12_1,Genaro Codina,"(0, 10)",0.42988691114347666,2026-06-16
MEX.32.12_1,Genaro Codina,100+,0.0035350049302552435,2026-06-16
MEX.32.12_1,Genaro Codina,"[10, 100)",0.13730886601636597,2026-06-16
MEX.32.12_1,Genaro Codina,0,0.43215462789045983,2026-06-16
MEX.12.32_1,General Canuto A. Neri,"[10, 100)",0.04592322878674345,2026-06-16
MEX.12.32_1,General Canuto A. Neri,"(0, 10)",0.5555217624563938,2026-06-16
MEX.12.32_1,General Canuto A. Neri,0,0.3964870345151813,2026-06-16
MEX.12.32_1,General Canuto A. Neri,100+,0.002024741518424676,2026-06-16
MEX.13.80_1,Yahualica,"[10, 100)",0.05017683703110826,2026-06-16
MEX.13.80_1,Yahualica,0,0.4131349989453294,2026-06-16
MEX.13.80_1,Yahualica,100+,0.0064252243812396035,2026-06-16
MEX.13.80_1,Yahualica,"(0, 10)",0.5300201589827598,2026-06-16
MEX.28.32_1,Reynosa,100+,0.003707103757394057,2026-06-16
MEX.28.32_1,Reynosa,"[10, 100)",0.04209845002944973,2026-06-16
MEX.28.32_1,Reynosa,0,0.3475675338801169,2026-06-16
MEX.28.32_1,Reynosa,"(0, 10)",0.60664411256699,2026-06-16
MEX.30.141_1,San Juan Evangelista,"(0, 10)",0.5278387908879282,2026-06-16
MEX.30.141_1,San Juan Evangelista,100+,0.010907429174686938,2026-06-16
MEX.30.141_1,San Juan Evangelista,0,0.41046880449416834,2026-06-16
MEX.30.141_1,San Juan Evangelista,"[10, 100)",0.05013035557729495,2026-06-16
MEX.24.22_1,Moctezuma,0,0.40833126248404994,2026-06-16
MEX.24.22_1,Moctezuma,"[10, 100)",0.056743973349639126,2026-06-16
MEX.24.22_1,Moctezuma,100+,0.0008590766392266594,2026-06-16
MEX.24.22_1,Moctezuma,"(0, 10)",0.5328375382860169,2026-06-16
MEX.12.43_1,Malinaltepec,100+,0.0043633705691603405,2026-06-16
MEX.12.43_1,Malinaltepec,"[10, 100)",0.03439701676812065,2026-06-16
MEX.12.43_1,Malinaltepec,0,0.42726199050266395,2026-06-16
MEX.12.43_1,Malinaltepec,"(0, 10)",0.5346389979570146,2026-06-16
MEX.30.40_1,Chinampa de Gorostiza,"(0, 10)",0.5808132735927759,2026-06-16
MEX.30.40_1,Chinampa de Gorostiza,0,0.3776492594549644,2026-06-16
MEX.30.40_1,Chinampa de Gorostiza,100+,0.009759710980387378,2026-06-16
MEX.30.40_1,Chinampa de Gorostiza,"[10, 100)",0.03227901716720374,2026-06-16
MEX.15.49_1,Jiquipilco,"(0, 10)",0.52504179750899,2026-06-16
MEX.15.49_1,Jiquipilco,0,0.3690140221880355,2026-06-16
MEX.15.49_1,Jiquipilco,100+,0.002516802003669594,2026-06-16
MEX.15.49_1,Jiquipilco,"[10, 100)",0.10289580692858262,2026-06-16
MEX.21.101_1,Nealtican,100+,0.0029420188639282673,2026-06-16
MEX.21.101_1,Nealtican,"[10, 100)",0.07700194690963563,2026-06-16
MEX.21.101_1,Nealtican,"(0, 10)",0.5534684068391413,2026-06-16
MEX.21.101_1,Nealtican,0,0.366481443754438,2026-06-16
MEX.13.82_1,Zapotlán de Juárez,"[10, 100)",0.12164524618434984,2026-06-16
MEX.13.82_1,Zapotlán de Juárez,"(0, 10)",0.5083868935644186,2026-06-16
MEX.13.82_1,Zapotlán de Juárez,100+,0.014036714120102146,2026-06-16
MEX.13.82_1,Zapotlán de Juárez,0,0.3587059777531877,2026-06-16
MEX.30.26_1,Calcahualco,0,0.3947725158419942,2026-06-16
MEX.30.26_1,Calcahualco,"[10, 100)",0.03157362438227987,2026-06-16
MEX.30.26_1,Calcahualco,100+,0.002267580288960892,2026-06-16
MEX.30.26_1,Calcahualco,"(0, 10)",0.5715182567876491,2026-06-16
MEX.5.94_1,Tenejapa,"(0, 10)",0.538619960251154,2026-06-16
