date,handle,keywords,text
2026-06-16,pandemiccenter.bsky.social,outbreak,"Pandemic Center Affiliate @craigspencer.bsky.social talks with Senator @shaheen.senate.gov to discuss the threat of the ongoing #Ebola outbreak, impact cuts to #USAID has had on the US's response & what this means for US preparedness to infectious diseases.   Watch ⤵️ www.youtube"
2026-06-16,pandemiccenter.bsky.social,influenza,New paper from my group led by PhD student Aleksandra Stamper on the environmental drivers of influenza across tropical and temperate locations. @pandemiccenter.bsky.social @brownpublichealth.bsky.social @brown-ibes.bsky.social  academic.oup.com/pnasnexus/ar...
2026-06-16,pandemiccenter.bsky.social,outbreak,"Dr. @craigspencer.bsky.social recalls surviving #ebola with Providence Journal. As someone who fought & survived it, his voice is an important one.  He shares that the current outbreak in the DRC could get far worse because of US cuts on the global health programs needed to fight"
2026-06-16,pandemiccenter.bsky.social,outbreak,"By cutting #USAID & withholding funding from orgs working on treatments, the Trump Admin risks increasing US exposure to infectious diseases.  @craigspencer.bsky.social shares, ""The longer we allow this outbreak to go uncontrolled, the greater the risk is not just to the region b"
2026-06-15,pandemiccenter.bsky.social,outbreak,"Formed through Exemplars in Global Health, AWARE focused on identifying and sharing best practices in Brazil, Kenya, South Africa, & Vietnam selected for their innovative use of surveillance systems, integration of climate and environmental data, & demonstrated capacity for outbr"
2026-06-13,jclinepi.bsky.social,covid,A Systematic Review of Observational Studies of Sodium-Glucose Cotransporter 2 Inhibitors and COVID-19 Outcomes: A Methodological Assessment - Journal of Clinical Epidemiology www.jclinepi.com/article/S089...
2026-06-12,publichealth.boston.gov,covid;flu;rsv,"Wastewater data for June 11 is now available:   • Citywide COVID-19 level: Very Low   • Citywide flu level: Not Detected  • Citywide RSV level: Not Detected   Find data about your neighborhood, reports, and more at boston.gov/wastewater."
2026-06-11,hsph.harvard.edu,malaria,"This May, Harvard Chan School researchers came together with colleagues across the university to discuss the fight against malaria—past, present and future.   “It’s going to take all of us in our different corners to defeat malaria,"" said professor Dyann Wirth.  https://bit.ly/4u"
2026-06-11,rsph.bsky.social,covid,"In our journal collection on future health protection challenges, we take a look at the lessons learned from COVID-19 to understand how we can better safeguard the public in the years to come.  📖 Read the collection or submit your own paper: www.sciencedirect.com/special-issu..."
2026-06-10,publichealth.boston.gov,covid;flu;rsv,"Wastewater data for June 8 is now available:   • Citywide COVID-19 level: Very Low   • Citywide flu level: Not Detected  • Citywide RSV level: Not Detected   Find data about your neighborhood, reports, and more at boston.gov/wastewater."
